Source,Destination,Operator,Distance (Kms),Duration,Bus Type,Departure,Arrival,Bus Price,Bus Arrival Date
Gwalior,Chennai,RedBus,1165,2:26,Semi-Sleeper,06:09,08:35,Moderate,2025-03-19
Delhi,Lucknow,Parveen Travels,1827,23:00,Volvo,21:44,20:44,Cheap,2025-03-22
Pune,Mumbai,VRL Travels,1257,21:10,Luxury Coach,12:46,09:56,Moderate,2025-03-12
Jamshedpur,Guwahati,Parveen Travels,1223,22:38,Volvo,05:50,04:28,Luxury,2025-03-12
Agra,Coimbatore,RedBus,563,12:11,Luxury Coach,17:08,05:19,Moderate,2025-02-26
Shimla,Amritsar,KSRTC,437,8:42,Express,03:43,12:25,Cheap,2025-02-23
Pune,Patna,TNSTC,234,17:00,Express,22:02,15:02,Cheap,2025-03-05
Lucknow,Delhi,VRL Travels,477,11:50,AC Sleeper,18:57,06:47,Cheap,2025-03-11
Dehradun,Jamshedpur,Parveen Travels,891,19:40,Luxury Coach,01:55,21:35,Luxury,2025-04-08
Kanpur,Nagpur,SRS Travels,1269,12:04,Non-AC Sleeper,09:30,21:34,Moderate,2025-04-06
Lucknow,Ahmedabad,Parveen Travels,1404,22:51,Non-AC Sleeper,21:03,19:54,Cheap,2025-03-14
Mysore,Bhubaneswar,VRL Travels,1964,11:56,Luxury Coach,22:36,10:32,Cheap,2025-03-06
Nagpur,Chandigarh,KSRTC,1708,17:11,Luxury Coach,09:20,02:31,Moderate,2025-03-09
Vadodara,Jaipur,TNSTC,1230,14:57,Semi-Sleeper,16:25,07:22,Cheap,2025-04-17
Visakhapatnam,Shimla,GreenLine Travels,891,24:20,Luxury Coach,03:16,03:36,Moderate,2025-04-12
Bangalore,Lucknow,Parveen Travels,703,18:47,Volvo,14:02,08:49,Moderate,2025-04-17
Hyderabad,Shimla,TNSTC,265,23:05,Semi-Sleeper,14:21,13:26,Moderate,2025-04-18
Nagpur,Bhubaneswar,TNSTC,1801,5:54,Volvo,18:07,00:01,Moderate,2025-02-28
Madurai,Mumbai,KSRTC,311,17:46,AC Sleeper,13:58,07:44,Cheap,2025-03-08
Ahmedabad,Nashik,Parveen Travels,362,17:58,Express,21:16,15:14,Moderate,2025-03-14
Mumbai,Bangalore,Parveen Travels,986,18:24,Express,18:58,13:22,Moderate,2025-04-06
Bhopal,Udaipur,SRS Travels,671,7:47,AC Sleeper,14:23,22:10,Luxury,2025-02-26
Coimbatore,Bhopal,SRS Travels,397,24:29,AC Sleeper,01:08,01:37,Moderate,2025-03-27
Ranchi,Chandigarh,KSRTC,986,16:21,Semi-Sleeper,15:47,08:08,Cheap,2025-04-02
Kolkata,Nashik,TNSTC,1683,12:24,AC Sleeper,15:59,04:23,Moderate,2025-04-07
Meerut,Kolkata,TNSTC,1339,4:41,Volvo,22:15,02:56,Cheap,2025-04-17
Jodhpur,Bhopal,GreenLine Travels,366,12:07,Luxury Coach,12:12,00:19,Cheap,2025-04-05
Udaipur,Visakhapatnam,TNSTC,426,16:41,Semi-Sleeper,00:48,17:29,Luxury,2025-03-09
