From,To,Train Name,Train No,Duration,Type,Departure Time,Arrival Time,Price Category,Train Price,Train Date
Jalgaon,Chennai,Chennai Express,85527,18:58,Passenger,12:56,11:46,Moderate,243,17-12-2025
Jalgaon,Hyderabad,Hyderabad Express,82007,16:24,Express,15:09,20:57,Economy,450,15-09-2025
Mumbai,Indore,Indore Express,83423,08:06,Express,00:04,08:01,Economy,435,02-11-2025
Pune,Indore,Indore Express,83256,04:56,Express,04:16,15:07,Economy,405,10-09-2025
Nashik,Vadodara,Vadodara Express,83219,20:38,Passenger,11:14,02:06,Economy,828,31-07-2025
Solapur,Indore,Indore Express,86326,18:42,Passenger,11:40,01:54,Luxury,289,04-04-2025
Nashik,Bhopal,Bhopal Express,87594,11:40,Express,19:13,07:39,Luxury,821,02-04-2025
Jalgaon,Udaipur,Udaipur Express,88457,10:37,Superfast,02:38,19:39,Luxury,614,14-12-2025
Amravati,Jaipur,Jaipur Express,88684,06:17,Passenger,04:52,18:31,Luxury,540,09-08-2025
Solapur,Bhopal,Bhopal Express,88316,19:36,Express,05:45,13:59,Moderate,362,01-09-2025
Pune,Jaipur,Jaipur Express,81084,06:23,Express,08:42,05:49,Moderate,582,03-03-2025
Amravati,Udaipur,Udaipur Express,85983,01:08,Passenger,03:49,10:00,Luxury,660,21-12-2025
Kolhapur,Goa,Goa Express,81261,17:12,Passenger,00:27,23:05,Moderate,859,19-11-2025
Amravati,Indore,Indore Express,86531,03:24,Passenger,20:25,14:43,Moderate,328,20-02-2025
Aurangabad,Hyderabad,Hyderabad Express,85625,15:58,Superfast,06:07,13:58,Luxury,203,07-07-2025
Kolhapur,Jaipur,Jaipur Express,86721,18:31,Superfast,17:10,12:41,Economy,786,10-03-2025
Pune,Jaipur,Jaipur Express,87592,10:49,Superfast,01:19,14:31,Luxury,703,06-02-2025
Mumbai,Goa,Goa Express,88364,17:43,Superfast,13:54,05:19,Moderate,239,15-06-2025
Jalgaon,Udaipur,Udaipur Express,83446,04:57,Superfast,19:47,12:40,Moderate,806,22-07-2025
Mumbai,Bhopal,Bhopal Express,83297,17:20,Passenger,01:08,22:57,Economy,896,02-08-2025
Kolhapur,Ahmedabad,Ahmedabad Express,87106,09:56,Express,13:35,07:17,Luxury,746,03-09-2025
Solapur,Hyderabad,Hyderabad Express,83695,06:10,Express,15:46,11:50,Economy,789,01-07-2025
Nagpur,Surat,Surat Express,88076,07:46,Passenger,13:41,20:32,Economy,142,08-04-2025
Solapur,Ahmedabad,Ahmedabad Express,83959,19:31,Express,21:03,23:51,Moderate,833,12-10-2025
Pune,Vadodara,Vadodara Express,83079,15:39,Superfast,09:07,12:27,Economy,320,29-06-2025
Mumbai,Chennai,Chennai Express,86306,04:37,Superfast,17:39,11:08,Moderate,156,06-10-2025
Nashik,Vadodara,Vadodara Express,87878,10:11,Passenger,10:15,23:21,Luxury,943,07-10-2025
Amravati,Vadodara,Vadodara Express,80651,09:59,Express,11:17,16:46,Luxury,930,15-09-2025
Pune,Hyderabad,Hyderabad Express,86733,18:07,Express,22:44,19:20,Luxury,147,29-01-2025
Thane,Hyderabad,Hyderabad Express,85655,07:54,Express,01:22,21:20,Economy,796,08-08-2025
Nagpur,Udaipur,Udaipur Express,89345,10:45,Passenger,09:06,21:58,Moderate,841,20-03-2025
Mumbai,Goa,Goa Express,85850,15:33,Express,20:15,11:06,Economy,984,09-12-2025
Pune,Goa,Goa Express,82631,03:51,Superfast,16:02,22:00,Moderate,469,27-04-2025
Kolhapur,Goa,Goa Express,83835,16:48,Express,05:22,00:07,Moderate,162,11-07-2025
Mumbai,Chennai,Chennai Express,87536,12:54,Passenger,11:03,06:36,Moderate,471,02-03-2025
Thane,Chennai,Chennai Express,81380,04:01,Passenger,14:15,05:26,Luxury,385,06-09-2025
Nashik,Udaipur,Udaipur Express,87775,04:33,Passenger,18:13,05:09,Luxury,826,30-11-2025
Kolhapur,Vadodara,Vadodara Express,87449,09:45,Superfast,13:53,03:54,Luxury,829,13-02-2025
Kolhapur,Udaipur,Udaipur Express,81873,05:07,Superfast,14:20,02:22,Luxury,698,15-06-2025
Nashik,Ahmedabad,Ahmedabad Express,83159,08:49,Express,14:07,03:53,Luxury,483,18-08-2025
Thane,Hyderabad,Hyderabad Express,85817,07:20,Express,19:03,13:48,Moderate,773,01-10-2025
Mumbai,Udaipur,Udaipur Express,82460,17:09,Passenger,03:36,19:31,Economy,627,30-11-2025
Aurangabad,Bhopal,Bhopal Express,86255,10:10,Superfast,14:46,07:44,Luxury,690,22-02-2025
Solapur,Ahmedabad,Ahmedabad Express,83658,02:21,Superfast,17:08,16:31,Luxury,883,03-02-2025
Amravati,Hyderabad,Hyderabad Express,89476,06:17,Passenger,12:19,08:59,Luxury,350,05-04-2025
Mumbai,Jaipur,Jaipur Express,82568,01:50,Superfast,11:56,16:16,Economy,614,02-08-2025
