Source,Destination,Operator,Distance (Kms),Duration,Bus Type,Departure,Arrival,Bus Price,Bus Arrival Date
Jalgaon,Chennai,RedBus,1951,08:38,Sleeper,07:41,18:11,3383,17-12-2025
Jalgaon,Hyderabad,VRL Travels,1286,03:15,Sleeper,00:58,22:03,2269,15-09-2025
Mumbai,Indore,Rajdhani Travels,906,06:07,Sleeper,19:56,14:28,5107,02-11-2025
Pune,Indore,VRL Travels,1815,06:23,Luxury Coach,11:33,16:30,6821,10-09-2025
Nashik,Vadodara,Rajdhani Travels,1725,02:32,Luxury Coach,08:32,07:54,700,31-07-2025
Solapur,Indore,VRL Travels,712,04:00,Sleeper,05:20,16:13,7625,04-04-2025
Nashik,Bhopal,VRL Travels,1351,05:53,Luxury Coach,12:05,00:59,4359,02-04-2025
Jalgaon,Udaipur,Rajdhani Travels,690,02:26,Sleeper,06:57,17:31,5470,14-12-2025
Amravati,Jaipur,Rajdhani Travels,1291,12:18,Luxury Coach,12:23,06:32,1749,09-08-2025
Solapur,Bhopal,VRL Travels,1156,01:32,Seater,20:28,06:38,2634,01-09-2025
Pune,Jaipur,VRL Travels,388,01:34,Sleeper,06:34,16:10,1500,03-03-2025
Amravati,Udaipur,SRS Travels,1913,05:17,Luxury Coach,05:51,23:22,2631,21-12-2025
Kolhapur,Goa,SRS Travels,1687,04:54,Seater,03:25,15:17,4683,19-11-2025
Amravati,Indore,RedBus,415,06:55,Luxury Coach,23:51,13:00,2536,20-02-2025
Aurangabad,Hyderabad,SRS Travels,1133,05:27,Sleeper,21:54,02:38,5836,07-07-2025
Kolhapur,Jaipur,Rajdhani Travels,585,06:32,Luxury Coach,12:58,22:42,612,10-03-2025
Pune,Jaipur,RedBus,826,01:16,Seater,17:28,09:23,6748,06-02-2025
Mumbai,Goa,Rajdhani Travels,1652,06:11,Luxury Coach,00:47,21:07,7807,15-06-2025
Jalgaon,Udaipur,SRS Travels,207,03:27,Sleeper,14:32,12:34,7348,22-07-2025
Mumbai,Bhopal,VRL Travels,312,03:21,Luxury Coach,16:50,12:36,698,02-08-2025
Kolhapur,Ahmedabad,RedBus,1638,06:50,Seater,09:14,07:34,1360,03-09-2025
Solapur,Hyderabad,RedBus,635,10:39,Seater,00:38,22:30,4308,01-07-2025
Nagpur,Surat,VRL Travels,1204,07:21,Seater,08:53,09:13,1908,08-04-2025
Solapur,Ahmedabad,SRS Travels,1712,11:15,Luxury Coach,11:48,08:25,5926,12-10-2025
Pune,Vadodara,SRS Travels,563,04:43,Luxury Coach,21:55,04:28,1459,29-06-2025
Mumbai,Chennai,VRL Travels,645,07:51,Luxury Coach,02:53,15:21,2333,06-10-2025
Nashik,Vadodara,Rajdhani Travels,478,09:44,Seater,13:33,01:41,7057,07-10-2025
Amravati,Vadodara,Rajdhani Travels,1553,05:25,Luxury Coach,08:22,06:58,2797,15-09-2025
Pune,Hyderabad,RedBus,229,11:09,Sleeper,23:27,11:05,4140,29-01-2025
Thane,Hyderabad,SRS Travels,1932,08:37,Luxury Coach,13:14,16:49,3256,08-08-2025
Nagpur,Udaipur,Rajdhani Travels,844,01:19,Sleeper,18:40,23:20,3151,20-03-2025
Mumbai,Goa,RedBus,1173,02:14,Seater,10:59,18:09,1712,09-12-2025
Pune,Goa,SRS Travels,533,08:47,Seater,09:59,22:15,1479,27-04-2025
Kolhapur,Goa,VRL Travels,441,09:09,Seater,20:15,11:23,7347,11-07-2025
Mumbai,Chennai,RedBus,157,11:37,Sleeper,13:09,01:32,1738,02-03-2025
Thane,Chennai,VRL Travels,400,09:48,Luxury Coach,16:34,03:21,5472,06-09-2025
Nashik,Udaipur,SRS Travels,1748,12:23,Sleeper,22:36,02:05,7896,30-11-2025
Kolhapur,Vadodara,Rajdhani Travels,1831,09:22,Seater,12:22,01:07,7703,13-02-2025
Kolhapur,Udaipur,RedBus,1609,09:51,Seater,23:16,07:24,2816,15-06-2025
Nashik,Ahmedabad,Rajdhani Travels,1258,05:32,Luxury Coach,06:06,22:49,4808,18-08-2025
