Source,Destination,Flight Number,Airline,Duration,Departure Time,Arrival Time,Flight Type,Aircraft Type,Flight Category,Flight Price,Flight Date
Jalgaon,Chennai,AI878,Vistara,03:59,03:53,16:52,Domestic,Airbus A320,Moderate,17728,17-12-2025
Jalgaon,Hyderabad,AI166,SpiceJet,02:18,17:43,06:32,Domestic,Embraer E175,Economy,16547,15-09-2025
Mumbai,Indore,AI493,SpiceJet,01:20,17:26,00:11,International,Airbus A320,Economy,18899,02-11-2025
Pune,Indore,AI543,SpiceJet,02:41,14:51,13:10,Domestic,Embraer E175,Economy,5064,10-09-2025
Nashik,Vadodara,AI167,IndiGo,02:22,12:59,02:09,Domestic,Boeing 737,Economy,8083,31-07-2025
Solapur,Indore,AI694,Vistara,03:51,09:39,05:07,Domestic,Boeing 737,Luxury,12081,04-04-2025
Nashik,Bhopal,AI471,Vistara,03:57,18:48,05:16,International,ATR 72,Luxury,18053,02-04-2025
Jalgaon,Udaipur,AI592,IndiGo,02:29,18:18,03:31,Domestic,Embraer E175,Luxury,11949,14-12-2025
Amravati,Jaipur,AI634,IndiGo,03:19,11:55,15:29,Domestic,Embraer E175,Luxury,10775,09-08-2025
Solapur,Bhopal,AI297,Vistara,01:13,16:38,15:36,International,ATR 72,Moderate,11838,01-09-2025
Pune,Jaipur,AI343,Vistara,01:00,11:06,07:05,International,Embraer E175,Moderate,15183,03-03-2025
Amravati,Udaipur,AI398,TruJet,03:54,12:50,20:58,Domestic,Embraer E175,Luxury,7692,21-12-2025
Kolhapur,Goa,AI128,TruJet,02:45,20:20,06:50,Domestic,Airbus A320,Moderate,19823,19-11-2025
Amravati,Indore,AI442,SpiceJet,03:49,11:41,20:51,Domestic,Airbus A320,Moderate,14182,20-02-2025
Aurangabad,Hyderabad,AI552,IndiGo,01:23,05:09,03:05,International,Airbus A320,Luxury,16590,07-07-2025
Kolhapur,Jaipur,AI382,IndiGo,03:25,07:21,18:27,International,Embraer E175,Economy,18534,10-03-2025
